term,coefficient
correta,-2.5260502505424367
no aguardo,-2.522416313232117
adorou,-2.5164713542307764
entregue conforme,-2.5145157534075486
só recebi,-2.511175005804704
coisa,-2.5066059753612167
chegou certinho,-2.493081410241929
veio certinho,-2.489502031459533
satisfação,-2.4476842080802585
muito lindo,-2.446665294274314
esperando,-2.444538305051562
ver,-2.4332428553439254
so recebi,-2.4274677870162966
atendido,-2.42211609602308
espero que,-2.4198888900029365
solicitado,-2.4011593323729423
produto loja,-2.390358749978503
que produto,-2.389366639571652
seja,-2.388403306071046
produto antes,-2.382414552659685
recomendo vendedor,-2.365156904557417
qualidade chegou,-2.36447227585262
feito,-2.3635239616281027
mas chegou,-2.3605070334989717
entregou antes,-2.353241711244108
não tive,-2.3492552458773948
chegou com,-2.348398733685251
aprovado,-2.347435185117475
novamente,-2.343856355318762
todas,-2.337431362638506
gostaria,-2.3349465954517856
prazo correto,-2.333846401774222
recomendaria,-2.328170484317206
conforme descrição,-2.3275847320184115
bom dia,-2.3246606533306737
no correio,-2.322908570595421
funcionando,-2.313527795534397
vezes,-2.312589344390681
prazo amei,-2.3111733136106
sem,-2.3110097112251764
descrição,-2.301527869308443
item,-2.2911983649092447
espectativas,-2.278882127805028
anos,-2.2779999541445983
entregar,-2.2740240912358556
devido,-2.2734490888356804
pontualidade,-2.2724421939408006
compra entrega,-2.2713288059342145
anúncio,-2.269086804147934
no mesmo,-2.2614221995983694
rápida recomendo,-2.2545073112195007
além de,-2.2518852276395718
nunca tive,-2.2485803729415825
muito de,-2.2449763546784025
péssimo,-2.2328720952242196
imagem,-2.2328507748929267
houve,-2.2169901418274467
informações,-2.2112659260259035
sem problemas,-2.210766964038124
perfume,-2.2055909480435525
produto eu,-2.2039669761696006
na minha,-2.2039239555810104
foto,-2.184755524461322
veio tudo,-2.1790685258216915
recebi uma,-2.177684620188468
foi bem,-2.177299347427152
errada,-2.1753272750801402
prazo sem,-2.1633850844410465
consumidor,-2.160187156947138
marca,-2.145855331724275
excelente loja,-2.139426598666323
pouco,-2.1373760758866434
pode,-2.1346435201543525
chegou tudo,-2.131907111142235
segura,-2.1237628635348575
por isso,-2.114500036603653
imaginava,-2.113216318810992
rapidez na,-2.112009275751725
tela,-2.1107487776806737
demorou muito,-2.106766839539446
ainda nao,-2.102910657044264
prazo estabelecido,-2.1002330277832764
com certeza,-2.096603415459699
compro,-2.0917517280424685
ir,-2.0909137270224902
prazo excelente,-2.088213766158416
produto certo,-2.0880994505983757
mais rápido,-2.0874864281653847
tive problemas,-2.079683623771963
loja excelente,-2.056619061262186
ao,-2.043490020968419
pq,-2.041404334096981
rápida ótimo,-2.024728151827604
funcionou,-2.019651339543259
fiquei muito,-2.015663010970671
único,-2.0147589109620885
ainda,-2.006197776766994
uma semana,-2.0037468730512935
sua,-2.0037126821231315
recebi os,-1.9954434612978436
cabo,-1.9948316684064085
prazo conforme,-1.993847500046852
pra,-1.9890154418517016
promete,-1.98499024470065
obrigado pela,-1.9747925616991222
quebrada,-1.9744022052683148
ninguém,-1.9732475021120501
solicitei,-1.9691833973239332
preço bom,-1.96804679957795
produto original,-1.96697032397102
amo,-1.9663788954226968
filha,-1.9533243366912807
minha filha,-1.9533243366912807
há,-1.9528456899237778
do combinado,-1.9425559097743172
estou no,-1.9410899463342304
infelizmente,-1.9314431039201885
recebi dentro,-1.9309134037855955
quando,-1.926637378723935
entregue corretamente,-1.9231706274783573
para entrega,-1.921480092449222
junto,-1.9208931241661151
recebi outro,-1.9147363613557462
exelente,-1.9138314364542703
três,-1.913759278798567
deixa,-1.9134491185779767
segunda,-1.910209704889396
produto super,-1.9070848575838633
processo,-1.9065358392952707
de comprar,-1.9049158581208323
produto como,-1.8999762499904658
rápida entrega,-1.8958248144456866
mochila,-1.895393621203765
compraria,-1.8924878319635983
os correios,-1.8922381713340815
produto ok,-1.8911958226421433
baixa qualidade,-1.886825161875388
só achei,-1.8838946937082963
08,-1.8794044766146536
nesta,-1.8785347256682714
produto do,-1.8722863093425808
bons,-1.8684253403788003
na descrição,-1.867937470549104
agilidade,-1.8672939329579838
melhorar,-1.8571434968569236
bateria,-1.8568735134010825
enviaram,-1.8547211154118424
me entregaram,-1.8529351184479823
cumpriu,-1.852120850689182
quase,-1.8505614392149468
de compra,-1.8460549583684602
que promete,-1.8425217528244986
dinheiro,-1.8412371347148981
produto mas,-1.8372964999256785
que veio,-1.8364170169978404
foi rápida,-1.8346309331725215
prazo que,-1.8318598360423972
excelente chegou,-1.8309605974759218
esta loja,-1.8285186065780188
não consigo,-1.8272823522602915
contato com,-1.826417379583118
entregue muito,-1.8253829258925747
relógio lindo,-1.8199034289238307
essa loja,-1.8170267835271168
de péssima,-1.8162765677074006
expectativa,-1.8093889416368978
menor,-1.8090696983568002
venda,-1.8079199131102213
só que,-1.8073639882814143
fiquei satisfeita,-1.8010058125644821
simplesmente,-1.8004319348404576
nesta loja,-1.794326771305795
comprarei,-1.7918316812833066
de saber,-1.7907541327507612
tarde,-1.7905192455855485
ótimo preço,-1.7896144901486781
entre,-1.7864930114762452
qualidade muito,-1.7755772703458093
recomento,-1.7755169709940872
pontual,-1.775193995457247
rapida entrega,-1.7733119396792842
muito bonita,-1.7706894649995766
foi feita,-1.767758180396871
desse,-1.7654693237662553
prático,-1.764718884207143
tranquila,-1.7621781063385635
pequena,-1.7545310834984598
comprei produto,-1.7540955129451214
tapete muito,-1.7538335490056651
do meu,-1.7533967653025848
testei,-1.749184698297331
veio um,-1.7461755382673099
lugar,-1.7457969315471031
conta,-1.7441313766908775
jeito,-1.7434517677252233
de qualidade,-1.7327110140785216
comprar com,-1.7307889871923696
sempre comprei,-1.7304610043011377
atenciosos,-1.7272294600124038
tudo dentro,-1.7262943263101267
tá,-1.7227132857849479
um produto,-1.718904445658184
produto com,-1.7171715038601185
respeito,-1.7144028321516553
pagamento,-1.707945795962782
aparelho,-1.7064810238314578
tudo ótimo,-1.7047205951297137
paguei,-1.7043708581932755
todas as,-1.7019832405515443
não,-1.6968950995764416
superou minhas,-1.6936578404487375
data de,-1.6920806847258325
acho que,-1.6910552384117405
tão,-1.6902025574865933
em tempo,-1.6888104537051931
novo,-1.6869066811013522
descrição do,-1.6811923979495118
as lannister,-1.6793692393417192
especificações,-1.678722783461599
filho,-1.676778284492455
faço,-1.6734816329288438
consegui,-1.6733791694373588
pedido chegou,-1.6733656497935077
vidro,-1.6706130047159764
como entregue,-1.6686829729054156
qual,-1.6652893550171077
cortinas,-1.663411983052987
aos,-1.6632113346809796
pacote,-1.6616646495268554
meu filho,-1.6598885575810378
todos os,-1.6562281923486082
entrega rápida,-1.6539720363392747
telefone,-1.653168707630115
prazo informado,-1.6523848489551634
usei,-1.6493063390605855
montagem,-1.6456444994743125
produto atendeu,-1.6406523494583392
maravilhosa,-1.638334110480473
targaryen,-1.6349376219389595
veio em,-1.634452489659619
tudo bem,-1.6329256774425294
negócio,-1.631749751996621
pouco mais,-1.6306289357995638
normal,-1.6299790535799012
produto errado,-1.62838129359628
que era,-1.6276511085738319
detalhes,-1.627122871678773
gostaria de,-1.6251502898062726
entrega produto,-1.6243214343047268
peça,-1.6232995656671099
produto recebi,-1.6227583883813739
adoro,-1.6220337375548879
pelo site,-1.6144791352268084
agora não,-1.6133400089350205
previsão,-1.6128860295863323
chegou até,-1.6118337393985611
garantia,-1.6109372906966108
rapidinho,-1.6079218455638702
compra de,-1.6079097329746317
algum,-1.6028907819746145
meio,-1.6003548225282842
gosto muito,-1.5996761390944114
11,-1.596440993424438
do material,-1.5919333646199414
fiz compra,-1.5907853283748137
obrigada,-1.588341988482997
exatamente como,-1.588253812370269
estou satisfeita,-1.5853486252186675
alta,-1.5843226252850198
minha compra,-1.5817735974735838
volta,-1.5816100651216465
cuidado,-1.5791249471800715
dentro da,-1.5755557598204148
das expectativas,-1.5704125860618496
macio,-1.5703292290281994
não posso,-1.5657773045793693
rápida eficiente,-1.560755804837548
bom entregue,-1.5588364854825447
são lindas,-1.558194820552643
devolução do,-1.556309541115118
noite,-1.5560511428567443
internet,-1.5539964239455428
cancelamento,-1.5537601665135692
nao foi,-1.5505171937640736
grata,-1.5497311780643095
bem atendido,-1.544535247438189
atendimento entrega,-1.5424953340068126
entrega feita,-1.5412955613440125
de volta,-1.5408235817373017
não testei,-1.5405441095335086
de boa,-1.5400760968991087
continuem,-1.539977653662754
produto para,-1.536083820638378
lindos,-1.5327374233896616
nf,-1.5319589890474035
ocorreu tudo,-1.5311435506401243
comprei uma,-1.5286741752006219
eficiência,-1.5284081799805707
recomendo essa,-1.5274867475248595
12,-1.5241072557357322
excelente material,-1.5184940990537186
clientes,-1.5181536002938352
equipe,-1.5178309317785963
recomendo este,-1.5171265762552422
que estava,-1.516350254976421
comprei duas,-1.5107119784270486
vermelho,-1.510517916106117
um retorno,-1.5051964017175459
que compro,-1.5015077131917647
perfeitamente,-1.5011872950476537
benefício,-1.500807733619844
mais de,-1.4965947979766758
exatamente que,-1.4946392932505537
boa tarde,-1.4933077429518335
via,-1.4932410099844453
contato,-1.4923540434938858
precisa,-1.491684036563165
receber produto,-1.4901426556582689
pensei,-1.4899567269985357
mas ainda,-1.4861954858664033
produto já,-1.4796537104148284
veio muito,-1.4761432056402934
conforme anuncio,-1.4753740432799687
superou as,-1.4744582462896287
material bom,-1.474011791362132
20,-1.4737373313605828
muito entrega,-1.4735407328774732
cartucho,-1.4716831570186426
padrão,-1.4685192252300396
relógio muito,-1.4680933204883686
bolsas,-1.4651581648191399
errado,-1.460267523831893
cada,-1.460109973542716
alta qualidade,-1.4573716846402165
embalada,-1.4551931482468776
um bom,-1.4483875271018538
sendo que,-1.4477956994347667
demorado,-1.4460042960459307
excelentes,-1.4458295427799737
rápida antes,-1.4415226781661434
não entregue,-1.4407420837605773
postagem,-1.4393066279852231
super indico,-1.438928878650644
feita antes,-1.4381094586708976
parabéns pelo,-1.4373459558749022
aquisição,-1.4368519524390284
custo benefício,-1.4342168691750112
enviei,-1.4322350624168405
td certinho,-1.4318204779208523
com que,-1.4315298562154852
avaliação,-1.4305722560665373
eu imaginava,-1.4296282598063599
tudo ocorreu,-1.4294908280466967
na data,-1.4262232411347695
que retirar,-1.425991262866389
comprar na,-1.4255468504149993
ao que,-1.425405269235909
apesar da,-1.42352866992107
mostra,-1.4230234897729594
não funciona,-1.422681861739469
entrar,-1.4212714331999725
pessoa,-1.4185266136443604
comprei no,-1.4126371634608004
era que,-1.4110518383844861
confiar,-1.4096069006592584
pelo atendimento,-1.4074573715463303
apesar de,-1.406695331868656
realizada,-1.406287220249559
deveriam,-1.4019680741167002
tanto,-1.401765687539878
bem rápida,-1.3974958322407334
sem nenhum,-1.3905988205083815
muito ruim,-1.390418411266389
nessa,-1.3891878360195313
recomendo para,-1.3887030102789517
me,-1.3842832611377922
adorei meu,-1.3804585885557115
muito feliz,-1.3797653025612608
rápido recomendo,-1.3764888010299876
boneca,-1.3703709077129849
embora,-1.369552855139893
no anuncio,-1.3692822425288425
solicito,-1.3691208467024671
lacrado,-1.3687184535050967
como combinado,-1.3684562400696365
dia seguinte,-1.3675636568462788
seguinte,-1.3675636568462788
cobre,-1.3674829640537824
da embalagem,-1.3649355990934675
gostou,-1.3646901059857164
facilidade,-1.3642918099117332
enquanto,-1.3628577658334076
tudo certinho,-1.3622751721763382
super bem,-1.3613908407205955
dizendo,-1.3607774671098078
mesmo dia,-1.3591467190315503
voces,-1.3590352083685884
na cor,-1.3587180814231299
bom serviço,-1.3583448398325784
melhor que,-1.3578231287070357
de compras,-1.3573113904153287
recebi ainda,-1.3552620480390662
estar,-1.3549948348826724
17,-1.353487743854506
td ok,-1.3528253029085056
continuem assim,-1.3492655906027196
qualidade boa,-1.348882275818389
boa noite,-1.3478994328817457
que esperado,-1.347888973802775
segundo,-1.343635249076841
chegou rapido,-1.3431241973972154
perfeito recomendo,-1.3422736340676784
rapida produto,-1.34020332328947
minha primeira,-1.3397576202664716
cadeiras,-1.3388555513174505
100,-1.338847899134487
feliz com,-1.3374436099321412
entrei,-1.3371832695899173
tudo de,-1.3356129431997188
uma loja,-1.3345955703356938
recebi corretamente,-1.331905592168496
falar,-1.33108161717536
difícil,-1.32727078429104
bom eu,-1.3234688047943601
kit,-1.3233364154099683
veio errado,-1.3232378334650563
defeitos,-1.3226852633802209
estou esperando,-1.3221996925203503
parabéns pela,-1.3192885060471435
bom super,-1.3167322511775097
foi tudo,-1.3164951445195487
cores,-1.3164278721648282
com atendimento,-1.3157526802383697
rastreio,-1.3157491023713066
diferente da,-1.315698086102714
um kit,-1.3126177269678438
já foi,-1.3124916929367538
bebê,-1.3112293746708674
resolver,-1.3093205031140729
desde,-1.3090746015504278
danificado,-1.308723217094161
segurança,-1.3069960875455808
boa recomendo,-1.3063836466513539
controle,-1.302447916420166
opção,-1.302102840421087
ótima entrega,-1.2996081660159267
de presente,-1.298096538724194
obtive,-1.2969687582365441
tudo conforme,-1.2953017123706303
colocar,-1.2916289157382734
ou seja,-1.2913926707959018
aconteceu,-1.289421656169999
certinho recomendo,-1.2890588893746893
eu gostei,-1.2885396076795672
pratico,-1.2880323677409242
das lojas,-1.287922052705636
prazo perfeito,-1.2857985838171309
programado,-1.284609457893603
lindo de,-1.2838892987916208
parece que,-1.281729005074081
mesa,-1.2810444770980667
bem embalada,-1.2808024364638249
fiquei satisfeito,-1.2790645854194054
embalagem,-1.2785203242234913
comprei dois,-1.2780340779925168
foi dentro,-1.2756743034263238
eu amei,-1.275025549242291
barato,-1.2748509800770749
minhas necessidades,-1.274633413177084
normalmente,-1.2737671027443915
produto estava,-1.2716356130616648
loja confiável,-1.2711484442682903
certinho no,-1.2711168039608522
pela internet,-1.2709817488751125
correto bem,-1.268978564577317
de alta,-1.2678747802481707
extremamente,-1.2670285966525396
por enquanto,-1.266311517371698
vendedor produto,-1.2661401239398764
fino,-1.2658400100002805
igual ao,-1.2654941934637045
dessa,-1.2651338823313465
mandou,-1.2650291388256623
foi entregue,-1.2621876507327883
depois de,-1.2616046478103566
por um,-1.2613200876658845
plástico,-1.2587613637442283
esta de,-1.2583186072526074
abrir,-1.2562160877753026
da minha,-1.255698371198043
durante,-1.2552285667446745
absurdo,-1.2540998163446533
proteção,-1.252826390182449
transporte,-1.2523935581988748
gostei de,-1.2518541506330636
culpa,-1.2517218514306068
nas lojas,-1.2482632786585923
ficar,-1.2476733408532492
pendente,-1.2445762351941378
neste,-1.244540160324776
eficaz,-1.2428619070740594
metade,-1.242386294630951
muito eficiente,-1.2419642518998757
logística,-1.241290647309239
chegou ainda,-1.2397149383736756
design,-1.2360551870224727
insatisfeita,-1.2338612139740657
pena comprar,-1.233845891221019
compra que,-1.2326214772394006
chegou rapidinho,-1.2325510268448605
entrega excelente,-1.227993538049724
toalha,-1.2268466109211669
adorei recomendo,-1.2257280355563138
uma solução,-1.2249871620945365
veio conforme,-1.2245780275745843
chego,-1.2234644586306325
utilizei,-1.2226862099171651
mercadoria,-1.222285959758437
semanas,-1.2217193029728965
não obtive,-1.2201581111001885
enfim,-1.2201178283350884
produto porém,-1.220089822866644
de mais,-1.2169620360425502
vendedor muito,-1.216563936182091
nada reclamar,-1.215281886330914
fabricante,-1.2138063983203864
pagar,-1.21255941998124
cliente,-1.2111523338619468
medidas,-1.2106746494898213
aparência,-1.2103544628095202
rasgado,-1.2099812172437536
22,-1.2097902092733777
leve,-1.2093921254051478
atendimento perfeito,-1.2090699216246672
recebi mercadoria,-1.2090063751301576
os dois,-1.2084758182639115
produto atende,-1.2070972452292195
boas,-1.2047634840804209
entregue na,-1.2034796212331647
sempre que,-1.203271404505994
nenhum problema,-1.2028936075834809
entrega do,-1.202428690348817
recomendo com,-1.2018557919594661
pago,-1.2012734398501677
foi enviado,-1.1987852201952303
apenas uma,-1.198412429741962
cima,-1.1979940552096064
somente um,-1.197886487344488
embalado chegou,-1.1965943331275108
instalação,-1.196236047402649
embalado em,-1.1948217458059176
atendida,-1.1945115536394886
pela loja,-1.1938327385103713
menor do,-1.1934824002716373
qualidade excelente,-1.1934343313008067
um ótimo,-1.192255493027968
espera,-1.1921656762849002
ameiii,-1.191826820396423
mesmo assim,-1.1897108261185727
irei,-1.1881518161065117
indicado,-1.1880080881529473
rápido bem,-1.1840289112803284
pessima,-1.1836616893543064
vem com,-1.1834707630509451
estrelas,-1.1822354384565323
não usei,-1.1813996382000789
cumprido,-1.179253427327712
por ser,-1.178750127927612
prazo corretamente,-1.1787289867559747
vendedor recomendo,-1.1778307546009024
azul,-1.1771816352704698
deste,-1.176078399097362
recebemos,-1.1740501324738177
prazo parabéns,-1.17357873225825
encomendei,-1.1731477949287232
certinho dentro,-1.1709602678170272
do dia,-1.1703296050211345
entretanto,-1.1701468616966506
da lannister,-1.168987223712818
otimo vendedor,-1.168671869230557
quebrado,-1.1683620068062837
alguma,-1.167811568509829
entrega chegou,-1.165848513545015
na loja,-1.1653363073588003
07,-1.1647832331968435
correspondeu,-1.1647473683804488
que fosse,-1.1630352990724968
mercado,-1.1624250201010518
de não,-1.1622687156512481
super rapido,-1.161559813787518
prazo com,-1.1606977542189902
otimos,-1.1590528858941849
rápido em,-1.158452474536997
partes,-1.1579049402968207
da empresa,-1.155144883532323
poder,-1.1546341314137043
prazo ótima,-1.1543519434466536
baixo,-1.1525645643272016
peças,-1.1525449070167375
montar,-1.1521460192972448
mto bom,-1.1518653434867403
entregou bem,-1.1516780017861283
recebo,-1.1512680062822571
deixou desejar,-1.15119481454284
de baixa,-1.1510828301673377
regular,-1.1510692852008362
minha casa,-1.1491892252317268
foi ótimo,-1.1485161731883575
que se,-1.1485140092438664
10 dias,-1.1482966838068973
isso não,-1.1474546408959254
pra chegar,-1.1472354617276534
desta,-1.1468165697859514
problema foi,-1.1463237916112026
juntos,-1.1460709782064051
que prazo,-1.145809811228015
prazo chegou,-1.1456807302166214
eh,-1.1452245109199337
varias,-1.1431957062359372
material do,-1.1421769367521852
confortavel,-1.1409393739778653
às,-1.1401637249317658
para fazer,-1.1399950193444892
colcha,-1.1398480134013667
aí,-1.1395387393681489
entregou produto,-1.1390328513565564
amou,-1.1389414571940433
branco,-1.1374900079332109
rapidez da,-1.1364609592933903
sensacional,-1.1355970966681908
prática,-1.1351261024447188
entregue,-1.1350432082165531
certo produto,-1.1344507715002021
ótimo chegou,-1.1330617840962431
encosto,-1.1321529156586132
mês,-1.1318352394650284
na verdade,-1.1302754956370122
de usar,-1.1301398455435017
ser mais,-1.1298439011630823
com vcs,-1.129796301268766
único problema,-1.1297167305737836
com minha,-1.1291270412011123
recomendo esta,-1.1286428935539448
quer,-1.1282518450912549
qualidade melhor,-1.1279246747084501
entrei em,-1.1276340536366216
primeira compra,-1.1269185662089198
em dias,-1.126874342227345
não de,-1.1261431133500894
recomendo compra,-1.1246878025930056
número,-1.1239403054328845
atende as,-1.1239006358419479
iguais,-1.1237426057327926
da mercadoria,-1.1230457633860236
compatível,-1.1223713463000409
posição,-1.1213063709587965
agora,-1.1198692864797353
dizendo que,-1.1190770399777255
melhores,-1.1185132004166576
tive problema,-1.1178837215435042
gosto de,-1.1174844857065203
com cliente,-1.1174195330587615
foi uma,-1.1164508728339073
algo,-1.1161898723461485
lindo amei,-1.1160209774260952
mas só,-1.1150121974214309
transportadora,-1.1142457854530512
muito tempo,-1.1134311690678704
brinde,-1.1116741321139485
meu dinheiro,-1.1115431047651985
loja que,-1.110685750391627
porém produto,-1.1099420011460523
praso,-1.1098294394065615
falta de,-1.1089120358157685
produto diferente,-1.1059459399388398
dei,-1.1051895996134224
toner,-1.1039586941073887
na lannister,-1.1033436981776639
fone,-1.1022073955078
luminária,-1.1014375301989974
venho,-1.1001802673238328
produto entregue,-1.098869180890168
bom comprar,-1.0974659275735401
tesouras,-1.0960471238508493
prazo estou,-1.0949233768895497
bonito muito,-1.0943771051945055
deu tudo,-1.0940345966192213
bom de,-1.0940188475920063
pelas,-1.093955592545087
estabelecido,-1.091765896400328
25,-1.0915843335760134
delicada,-1.091088778738804
ótimo custo,-1.0909553551180098
produto nao,-1.0909174462294742
informação,-1.0886085214834311
porém veio,-1.0865497619895548
no entanto,-1.0857108240576616
entanto,-1.0857108240576616
rápida muito,-1.0853029083516876
sucesso,-1.0852013670239626
serve,-1.0845415890322605
não consegui,-1.0844171228456545
bem bonito,-1.084323604623255
achei muito,-1.0843168414213151
mão,-1.0839813312300186
amei chegou,-1.0839294181128099
uma ótima,-1.0837710206790265
fui bem,-1.0831356184511647
